table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",prison_id,6,character varying,6,YES,,Agency code where this stage was completed. Indicates where the prisoner was held at the time.,PERSONAL,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",assessment_comment,7,text,,YES,,"The assessor's free-text comment on the assessment. Unstructured and unbounded - in practice describes offending, behaviour, health and third parties, so treat as special category regardless of what any individual comment happens to say.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",question_set_version,8,integer,,YES,,"Version of the question set the stage was captured against, so answers stay interpretable when the questions change.",NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",dps_checked,9,boolean,,YES,,"Whether the assessor checked DPS (current and historical adjudications) as an evidence source. Records which sources were consulted, not what was found. Initial assessment journey only.",NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",per_checked,10,boolean,,YES,,Whether the assessor checked the Person Escort Record as an evidence source. Initial assessment journey only.,NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",warrant_checked,11,boolean,,YES,,Whether the assessor checked the warrant (current charge or offence) as an evidence source. Initial assessment journey only.,NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",pnc_checked,12,boolean,,YES,,Whether the assessor checked the PNC (current and previous convictions) as an evidence source. Initial assessment journey only.,NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_murder_manslaughter,13,boolean,,YES,,"Is there evidence of murder, manslaughter or a life-threatening assault on another prisoner in custody? Criminal offence data about the prisoner whichever way it is answered - a recorded No is still offence data. Selecting Yes forces a HIGH_GENERAL rating.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_assisting_suicide,14,boolean,,YES,,Is there evidence of assisting a suicide in custody? Criminal offence data whichever way it is answered. Selecting Yes forces a HIGH_GENERAL rating.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_sexual_assault,15,boolean,,YES,,Is there evidence of sexual assault of a same-sex adult victim? Criminal offence data whichever way it is answered. Selecting Yes forces a HIGH_GENERAL rating.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_repeated_violence,16,boolean,,YES,,Is there evidence of repeated violence in custody? Criminal offence data whichever way it is answered.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_prejudice_motivated,17,boolean,,YES,,"Is there evidence of offending or behaviour motivated by prejudice? Criminal offence data, and an answer that may reveal the victim's race, religion or sexual orientation.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_arson,18,boolean,,YES,,Is there evidence of arson or fire setting? Criminal offence data whichever way it is answered.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_kidnap_hostage,19,boolean,,YES,,"Is there evidence of kidnap, hostage taking or false imprisonment? Criminal offence data whichever way it is answered.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",officer_spoke_to_prisoner,20,boolean,,YES,,"Did the officer speak to the prisoner as part of the assessment? A plain yes/no about process, with no detail box behind it. Initial assessment journey only.",NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",likely_to_harm_cellmate,21,boolean,,YES,,Is the prisoner likely to harm a cellmate? The assessor's risk judgement about the person.,PERSONAL,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",significantly_vulnerable,22,boolean,,YES,,"Is the prisoner significantly vulnerable? Vulnerability here is routinely a matter of disability, mental health or belonging to an at-risk group.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",cause_for_concern_sharing,23,boolean,,YES,,Is there any other cause for concern about this person sharing a cell? The assessor's risk judgement about the person. Initial assessment journey only.,PERSONAL,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",other_high_risk_indicators,24,boolean,,YES,,Are there other indicators of high risk? The assessor's risk judgement about the person.,PERSONAL,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",seen_by_healthcare,25,boolean,,YES,,Has the prisoner been seen by healthcare as part of this assessment? Data concerning health. Initial assessment journey only.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",healthcare_increased_risk,26,boolean,,YES,,Did healthcare identify anything that increases the risk of sharing a cell? Data concerning health.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",likely_to_harm_cellmate_detail,27,text,,YES,,"Free text describing the risk of harm to a cellmate, shown when the answer is Yes. Expect offending, behaviour and named third parties.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",significantly_vulnerable_detail,28,text,,YES,,"Free text describing the prisoner's vulnerability, shown when the answer is Yes. Expect health, disability and sexual orientation.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",cause_for_concern_sharing_detail,29,text,,YES,,"Free text describing the cause for concern, shown when the answer is Yes.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",other_high_risk_indicators_detail,30,text,,YES,,"Free text describing the other high-risk indicators, shown when the answer is Yes.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",healthcare_increased_risk_detail,31,text,,YES,,"Free text describing what healthcare identified, shown when the answer is Yes. Data concerning health.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_murder_manslaughter_detail,32,text,,YES,,Free-text detail behind a Yes to the murder or manslaughter question. Review journey only - an initial assessment records its evidence in csra_assessment_stage_offence_evidence instead.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_assisting_suicide_detail,33,text,,YES,,Free-text detail behind a Yes to the assisting suicide question. Review journey only.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_sexual_assault_detail,34,text,,YES,,Free-text detail behind a Yes to the sexual assault question. Review journey only.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_repeated_violence_detail,35,text,,YES,,Free-text detail behind a Yes to the repeated violence question. Review journey only.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_prejudice_motivated_detail,36,text,,YES,,"Free-text detail behind a Yes to the prejudice-motivated question. Likely to describe the race, religion or sexual orientation of a victim as well as the prisoner's own behaviour.",SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_arson_detail,37,text,,YES,,Free-text detail behind a Yes to the arson question. Review journey only.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",offence_kidnap_hostage_detail,38,text,,YES,,Free-text detail behind a Yes to the kidnap or hostage question. Review journey only.,SPECIAL-CATEGORY,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",review_reason,39,character varying,60,YES,,"Why the review was held - SCHEDULED_LONG_TERM_HIGH_RISK_REVIEW, SHORT_TERM_HIGH_RISK_REVIEW, NEW_OR_ADDITIONAL_INFORMATION or RECENT_CHANGE_IN_BEHAVIOUR_OR_THINKING. Captured on every review including Standard risk. Review journey only; an initial assessment leaves it null. Some values are a statement about the prisoner's behaviour.",PERSONAL,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",mdt_chair_name,40,text,,YES,,"Free-text name of whoever chaired the multidisciplinary meeting. A name typed by hand, with no staff lookup behind it. Review journey only.",STAFF,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",last_saved_by,41,character varying,255,YES,,Username that last saved the stage without confirming a rating. Identifies a member of staff.,STAFF,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",last_saved_at,42,timestamp without time zone,,YES,,When the stage was last saved without confirming a rating.,NONE,N,
csra_assessment_stage,"The answers captured at one stage of a new (DPS) CSRA. A review record has up to two: an initial assessment has PROVISIONAL (Day 1) and/or FINAL (Day 2), a review has INTERIM and/or FINAL. Both journeys share this table, so a null answer means either ""not answered"" or ""not asked on this journey"" - narrow by the parent review's type before counting unanswered questions. The stage's rating is not stored here; it lives on csra_review. Holds the most sensitive data in the service: offence questions, healthcare answers and free-text risk descriptions.",version,43,integer,,NO,1,Optimistic locking version for concurrent updates,NONE,N,
csra_assessment_stage_evidence_source,"One evidence source the reviewer consulted, from the review journey's multi-select. One row per selected source, unique per stage and source. A different question from the offence-evidence table: this records which sources were looked at, not where a specific piece of evidence came from. Review journey only - an initial assessment uses the four *_checked booleans on the parent, which do not extend to a list this long.",id,1,uuid,,NO,,Primary key. Time-ordered UUID v7.,NONE,Y,
csra_assessment_stage_evidence_source,"One evidence source the reviewer consulted, from the review journey's multi-select. One row per selected source, unique per stage and source. A different question from the offence-evidence table: this records which sources were looked at, not where a specific piece of evidence came from. Review journey only - an initial assessment uses the four *_checked booleans on the parent, which do not extend to a list this long.",stage_id,2,uuid,,NO,,Foreign key to csra_assessment_stage. Deleted with the stage.,NONE,N,csra_assessment_stage
csra_assessment_stage_evidence_source,"One evidence source the reviewer consulted, from the review journey's multi-select. One row per selected source, unique per stage and source. A different question from the offence-evidence table: this records which sources were looked at, not where a specific piece of evidence came from. Review journey only - an initial assessment uses the four *_checked booleans on the parent, which do not extend to a list this long.",source,3,character varying,40,NO,,"The source consulted - one of ALLOCATION_BOARD, ASSET_PLUS, DPS, HEALTHCARE_ASSESSMENT, INCENTIVES_REVIEW, MAPPA_REVIEW, INTELLIGENCE_MANAGEMENT_SERVICE, OASYS, PLACEMENT_REVIEW_FORM, PNC, RECATEGORISATION_REVIEW, ROTL_BOARD, SAFETY_AND_SECURITY_FORM, SAFETY_DIAGNOSTIC_TOOL, SECURITY_FILE, SENTENCE_PLAN, TRANSFER_CONFIRMATION_FORM, VIPER or OTHER. Some values imply something about the prisoner - that a MAPPA review or healthcare assessment exists for them.",PERSONAL,N,
